,throwTick,destroyTick,throwSeconds,throwClockTime,destroySeconds,destroyClockTime,throwerSteamID,throwerName,throwerTeam,throwerSide,throwerX,throwerY,throwerZ,grenadeType,grenadeX,grenadeY,grenadeZ,entityId,roundNum,matchID,mapName
0,37453,40453,3.203125,01:52,26.640625,01:29,76561198121220486,Perfecto,Natus Vincere,T,-502.0,-646.125,223.21875,Smoke Grenade,-275.03125,1413.96875,-26.5,4136353673894269217,1,OG-NaVi-BLAST2020,de_dust2
1,38724,38933,13.1328125,01:42,14.765625,01:41,76561198013243326,Aleksib,OGEsports,CT,-471.84375,1803.78125,-51.5,Flashbang,-148.5625,509.0625,91.125,4493988860614313135,1,OG-NaVi-BLAST2020,de_dust2
2,46409,48965,0.25,01:55,20.21875,01:35,76561198016432560,mantuu,OGEsports,CT,300.40625,2406.375,-55.34375,Smoke Grenade,-356.6875,2234.25,-121.75,7747147556852822068,2,OG-NaVi-BLAST2020,de_dust2
3,46838,49836,3.6015625,01:52,27.0234375,01:28,76561198146207066,Boombl4,Natus Vincere,T,-299.90625,-1149.28125,175.9375,Smoke Grenade,-281.375,1429.46875,-26.53125,213148147061592444,2,OG-NaVi-BLAST2020,de_dust2
4,47229,47439,6.65625,01:49,8.296875,01:47,76561198116523276,flamie,Natus Vincere,T,190.96875,-481.5,98.59375,Flashbang,1190.78125,645.75,552.03125,1147050999855880703,2,OG-NaVi-BLAST2020,de_dust2
5,47291,48012,7.140625,01:48,12.7734375,01:43,76561198037812456,ISSAA,OGEsports,CT,-491.40625,1877.3125,-51.84375,HE Grenade,-124.15625,446.40625,-0.5625,2408919902728845389,2,OG-NaVi-BLAST2020,de_dust2
6,47332,48053,7.4609375,01:48,13.09375,01:42,76561198013243326,Aleksib,OGEsports,CT,1322.8125,1239.09375,63.03125,HE Grenade,679.875,534.4375,-0.25,7701031483633715557,2,OG-NaVi-BLAST2020,de_dust2
7,47457,47667,8.4375,01:47,10.078125,01:45,76561198114929868,valde,OGEsports,CT,1657.71875,1867.53125,74.1875,Flashbang,882.34375,1003.6875,349.125,2903561752088116009,2,OG-NaVi-BLAST2020,de_dust2
8,47553,48274,9.1875,01:46,14.8203125,01:41,76561197960710573,NBK-,OGEsports,CT,-1797.03125,2067.25,66.46875,HE Grenade,-1861.53125,1188.0,59.875,70846625002411951,2,OG-NaVi-BLAST2020,de_dust2
9,48447,51029,16.171875,01:39,36.34375,01:19,76561197960710573,NBK-,OGEsports,CT,-1857.59375,2006.375,63.6875,Smoke Grenade,-1973.75,1286.8125,31.625,8298730149699610199,2,OG-NaVi-BLAST2020,de_dust2
10,48726,51621,18.3515625,01:37,40.96875,01:15,76561198114929868,valde,OGEsports,CT,1357.1875,584.75,-0.71875,Smoke Grenade,572.90625,653.25,3.5,3415115241852746098,2,OG-NaVi-BLAST2020,de_dust2
11,51151,51873,37.296875,01:18,42.9375,01:13,76561198114929868,valde,OGEsports,CT,1310.5,1262.34375,70.6875,HE Grenade,683.6875,471.5,90.6875,924176429564889229,2,OG-NaVi-BLAST2020,de_dust2
