,tick,seconds,clockTime,attackerSteamID,attackerName,attackerTeam,attackerSide,attackerX,attackerY,attackerZ,attackerViewX,attackerViewY,victimSteamID,victimName,victimTeam,victimSide,victimX,victimY,victimZ,victimViewX,victimViewY,assisterSteamID,assisterName,assisterTeam,assisterSide,isSuicide,isTeamkill,isWallbang,penetratedObjects,isFirstKill,isHeadshot,victimBlinded,attackerBlinded,flashThrowerSteamID,flashThrowerName,flashThrowerTeam,flashThrowerSide,noScope,thruSmoke,distance,isTrade,playerTradedName,playerTradedTeam,playerTradedSteamID,weapon,weaponClass,roundNum,matchID,mapName
0,39106,16.1171875,01:39,76561198016432560,mantuu,OGEsports,CT,-294.1557312011719,626.77783203125,1.0166358947753906,319.5758056640625,0.5987548828125,76561198146207066,Boombl4,Natus Vincere,T,66.37433624267578,308.03125,0.4415321350097656,128.1170654296875,1.6534423828125,,,,,False,False,False,0,True,True,True,False,76561198013243328,Aleksib,OGEsports,CT,False,False,481.2293048350279,False,,,,USP-S,Pistols,1,OG-NaVi-BLAST2020,de_dust2
1,39549,19.578125,01:36,76561198037812448,ISSAA,OGEsports,CT,-1845.3988037109375,2719.539306640625,32.390869140625,264.2047119140625,0.0604248046875,76561198034202275,s1mple,Natus Vincere,T,-1977.319091796875,1273.65966796875,30.387605667114258,86.7974853515625,0.472412109375,,,,,False,False,False,0,False,True,False,False,,,,,False,False,1451.886670852492,False,,,,USP-S,Pistols,1,OG-NaVi-BLAST2020,de_dust2
2,39632,20.2265625,01:35,76561198016432560,mantuu,OGEsports,CT,-171.5087432861328,761.1831665039062,2.132068395614624,118.49853515625,8.173828125,76561198044045107,electronic,Natus Vincere,T,-559.5462036132812,1507.7708740234375,-110.72203063964844,299.190673828125,352.694091796875,,,,,False,False,False,0,False,True,False,False,,,,,False,False,848.9418845277181,False,,,,USP-S,Pistols,1,OG-NaVi-BLAST2020,de_dust2
3,39696,20.7265625,01:35,76561198116523280,flamie,Natus Vincere,T,-604.3326416015625,1334.03125,-108.25413513183594,41.3470458984375,3.0926513671875,76561198013243326,Aleksib,OGEsports,CT,-360.28582763671875,1564.466064453125,-126.48118591308594,223.5552978515625,358.2696533203125,,,,,False,False,False,0,False,True,False,False,,,,,False,False,336.1417506032529,False,,,,Glock-18,Pistols,1,OG-NaVi-BLAST2020,de_dust2
4,40045,23.453125,01:32,76561198016432560,mantuu,OGEsports,CT,-149.03125,1001.2312622070312,1.4899253845214844,133.4674072265625,10.162353515625,76561198116523276,flamie,Natus Vincere,T,-588.3668823242188,1487.9278564453125,-110.94786071777344,305.892333984375,351.2713623046875,,,,,False,False,False,0,False,True,False,False,,,,,False,False,665.2305077313041,True,Aleksib,OGEsports,7.656119801324333e+16,USP-S,Pistols,1,OG-NaVi-BLAST2020,de_dust2
5,42787,44.875,01:11,76561198121220480,Perfecto,Natus Vincere,T,-1892.3128662109375,2378.096435546875,7.812355041503906,63.56689453125,355.6988525390625,76561198037812456,ISSAA,OGEsports,CT,-1712.3782958984375,2726.55078125,66.02273559570312,243.4844970703125,12.689208984375,,,,,False,False,False,0,False,False,False,False,,,,,False,False,396.46605029586283,False,,,,P250,Pistols,1,OG-NaVi-BLAST2020,de_dust2
6,43177,47.921875,01:08,76561198016432560,mantuu,OGEsports,CT,-1443.8145751953125,2268.504638671875,0.03125,135.2801513671875,350.364990234375,76561198121220486,Perfecto,Natus Vincere,T,-1762.17919921875,2622.097900390625,84.02922058105469,33.75,25.1531982421875,76561198037812448,ISSAA,OGEsports,CT,False,False,False,0,False,False,False,False,,,,,False,False,483.1561731202706,True,ISSAA,OGEsports,7.656119803781245e+16,USP-S,Pistols,1,OG-NaVi-BLAST2020,de_dust2
7,54998,67.3515625,00:48,76561198146207072,Boombl4,Natus Vincere,T,-1918.0179443359375,1844.312744140625,16.124279022216797,351.199951171875,312.8521728515625,76561197960710573,NBK-,OGEsports,CT,-1823.783447265625,1849.7137451171875,132.03125,183.2904052734375,60.205078125,76561198121220480,Perfecto,Natus Vincere,T,False,False,False,0,True,False,False,False,,,,,False,False,149.4782163757925,False,,,,Tec-9,Pistols,2,OG-NaVi-BLAST2020,de_dust2
8,55339,70.015625,00:45,76561198146207072,Boombl4,Natus Vincere,T,-1588.9959716796875,1992.3466796875,-2.511343002319336,111.2640380859375,357.769775390625,76561198037812456,ISSAA,OGEsports,CT,-1780.1463623046875,2477.46533203125,30.592708587646484,297.70751953125,4.98779296875,,,,,False,False,False,0,False,True,True,False,76561198121220480,Perfecto,Natus Vincere,T,False,False,522.4695751137834,False,,,,Tec-9,Pistols,2,OG-NaVi-BLAST2020,de_dust2
9,55431,70.734375,00:45,76561198013243328,Aleksib,OGEsports,CT,-409.076171875,1976.5443115234375,-126.72498321533203,104.326171875,1.3128662109375,76561198116523276,flamie,Natus Vincere,T,-532.3328857421875,2398.382080078125,-97.1252670288086,286.7431640625,5.1031494140625,,,,,False,False,False,0,False,True,False,False,,,,,False,False,440.47186481188396,False,,,,MP9,SMG,2,OG-NaVi-BLAST2020,de_dust2
10,55554,71.6953125,00:44,76561198044045104,electronic,Natus Vincere,T,-941.1259765625,2547.166015625,-19.790891647338867,307.7874755859375,9.920654296875,76561198013243326,Aleksib,OGEsports,CT,-479.4072265625,1890.2633056640625,-123.73499298095703,123.0303955078125,359.9395751953125,76561198116523280,flamie,Natus Vincere,T,False,False,False,0,False,False,False,False,,,,,False,False,809.635566571553,True,flamie,Natus Vincere,7.656119811652328e+16,Tec-9,Pistols,2,OG-NaVi-BLAST2020,de_dust2
11,57428,5.4609375,00:35,76561198034202272,s1mple,Natus Vincere,T,-1832.2774658203125,-537.7008666992188,114.95743560791016,343.3721923828125,359.93408203125,76561198114929868,valde,OGEsports,CT,-750.6729736328125,-885.254638671875,118.69277954101562,162.1197509765625,0.87890625,,,,,False,False,False,0,False,True,False,False,,,,,False,False,1136.0791586535242,False,,,,Desert Eagle,Pistols,2,OG-NaVi-BLAST2020,de_dust2
12,58722,15.5703125,00:25,76561198016432560,mantuu,OGEsports,CT,717.3812866210938,349.02777099609375,3.6673789024353027,235.6842041015625,6.4215087890625,76561198034202275,s1mple,Natus Vincere,T,-289.40594482421875,-962.4021606445312,78.11013793945312,52.635498046875,2.7191162109375,,,,,False,False,True,1,False,False,False,False,,,,,False,False,1654.9956856068522,False,,,,M4A4,Rifle,2,OG-NaVi-BLAST2020,de_dust2
13,59967,25.296875,00:15,76561198146207072,Boombl4,Natus Vincere,T,-355.17388916015625,789.0884399414062,-2.0616328716278076,311.385498046875,0.604248046875,76561198016432560,mantuu,OGEsports,CT,238.76248168945312,117.94953918457031,5.881500244140625,131.033935546875,1.845703125,76561198034202272,s1mple,Natus Vincere,T,False,False,False,0,False,False,False,False,,,,,False,False,896.242673660875,False,,,,FAMAS,Rifle,2,OG-NaVi-BLAST2020,de_dust2
14,64481,10.2578125,01:45,76561198146207072,Boombl4,Natus Vincere,T,594.4692993164062,1009.0763549804688,1.5468330383300781,342.6361083984375,9.1845703125,76561198013243326,Aleksib,OGEsports,CT,1385.02392578125,780.2072143554688,-14.277098655700684,162.410888671875,0.4779052734375,,,,,False,False,False,0,True,False,True,False,76561198121220480,Perfecto,Natus Vincere,T,False,False,823.1695437573308,False,,,,AK-47,Rifle,3,OG-NaVi-BLAST2020,de_dust2
15,70948,60.78125,00:55,76561198034202272,s1mple,Natus Vincere,T,1300.03125,2356.85498046875,77.01615142822266,166.300048828125,6.9873046875,76561198037812456,ISSAA,OGEsports,CT,513.1611328125,2533.946533203125,96.03163146972656,356.484375,0.9832763671875,,,,,False,False,False,0,False,False,False,False,,,,,False,False,806.7760456618371,False,,,,M4A4,Rifle,3,OG-NaVi-BLAST2020,de_dust2
16,71199,62.7421875,00:53,76561198034202272,s1mple,Natus Vincere,T,1135.11474609375,2297.9453125,127.03125,198.39111328125,24.32373046875,76561198114929868,valde,OGEsports,CT,644.4930419921875,2141.977783203125,-85.5880355834961,26.9659423828125,343.8555908203125,,,,,False,False,False,0,False,False,False,False,,,,,False,False,556.9941537687168,False,,,,M4A4,Rifle,3,OG-NaVi-BLAST2020,de_dust2
17,71427,64.5234375,00:51,76561198016432560,mantuu,OGEsports,CT,977.2540893554688,2445.963623046875,96.8931884765625,288.5504150390625,352.1502685546875,76561198034202275,s1mple,Natus Vincere,T,1042.301513671875,2289.20654296875,127.03125,180.37353515625,20.2423095703125,,,,,False,False,False,0,False,True,False,False,,,,,False,False,172.3724233083958,True,valde,OGEsports,7.656119811492987e+16,Desert Eagle,Pistols,3,OG-NaVi-BLAST2020,de_dust2
